State;Year;C_CE_I;C_CE_I_R;Total Current Assets;Current Liabilities;Noncurrent Liabilities;Unrestricted Net Assets;Restricted Net Assets;Total Net Assets;Total Assets;Total Liabilities;Total Taxes;Total Revenue;Total Expenses;NonCurrent Liability;Change in Net Assets;Population;UAAL pension (risk-free);UAAL OPEB;Primary gov debt;Personal income;1.Cash_ratio;2.quick_ratio;3.current_ratio;4.op_ratio;5. surplus_percap;6.net_asst_ratio;7.long_term_liab;8.lt_percapita;9.tax_income_ratio;10.rev_income_ratio;11.exp_income_ratio;12. pension_income_ratio;13. opeb_income_ratio;cashrank;Lrrank;budgetrank;servicelvlrank;trustrank;overallrank
Connecticut;2009;2310090.6040268457;5648804.250559284;5917868.008948546;4561980.984340045;26340638.702460848;-18193475.391498882;3454335.5704697985;-5665813.199105145;25236806.48769575;30902619.686800893;12854063758.389261;26744534675.61521;29956290827.74049;26340638702.46085;-3101968680.089485;3561807;59893420356.81503;32310671140.939598;20288172259.507828;240754434004.47427;0.5063788323442635;1.2382349400293398;1.2972145279129543;0.8927852526671597;-870.8974630263475;-0.5840334761933994;1.0437389816062217;7395.302076294659;0.05339076645271828;0.11108636393844436;0.1244267460809622;0.24877390360213242;0.13420592345285373;42;48;45;15;27;40
Delaware;2009;1402724.832214765;1781181.2080536913;1931680.0894854586;1355107.3825503355;3967495.5257270695;473370.24608501117;434731.54362416104;5821815.436241611;11144418.344519015;5322602.9082774045;3621993288.590604;7017394854.586129;7561326621.923937;3967495525.7270694;-543931767.3378077;891730;6539875370.50233;6211409395.973154;2924909395.9731545;41212489932.8859;1.0351392445186245;1.3144207101148526;1.4254811938593406;0.928063976794669;-609.9736101037395;0.08148489778793971;0.35600741134043484;4449.211673631109;0.08788581554982436;0.1702734987867484;0.18347172505804615;0.15868673261801086;0.1507166736610277;36;35;34;46;6;38
Florida;2009;35308672.25950783;45387189.03803132;45823908.27740492;16818397.091722596;43298024.60850112;-16738289.70917226;11501561.521252796;61334472.03579418;121450893.7360179;60116421.700223714;30823100671.140938;73332214765.10066;78290003355.7047;43298024608.50112;-5100791946.308724;18652644;129868485084.58606;10811690156.599552;31463087248.322147;773328550335.5704;2.0994076942615107;2.6986631835663606;2.724629941099309;0.9366740531600352;-273.46214007562276;-0.04311807041372509;0.3565064305134916;2321.280811905332;0.03985770428075605;0.09482672627731076;0.10123769945094141;0.16793442454469348;0.013980720292698407;12;37;29;5;10;7
Georgia;2009;8957078.299776286;13333964.205816554;13648008.94854586;7441545.861297539;14766545.861297539;-695465.3243847875;3665117.4496644293;22259536.91275168;44467628.635346755;22208091.722595077;17054138702.46085;44259589485.45861;46762796420.58166;14766545861.297539;-2503206935.1230426;9620846;71416915789.36247;21794903803.131992;14664912751.677853;369783278523.4899;1.2036582810516325;1.7918271894506055;1.8340287358205083;0.9464701188395716;-260.18573991549624;0.06678233619408935;0.3320740573415646;1534.8489999005844;0.046119280381082754;0.11969061895438597;0.1264600081628924;0.19313181513919056;0.05893966836509483;24;32;24;13;15;19
Hawaii;2009;2939441.8344519017;3780778.523489933;4567850.111856823;2369753.9149888144;7690834.451901566;141030.20134228189;1592393.736017897;7130696.868008949;17191285.234899327;10060588.36689038;4902479865.771812;8753583892.617449;10818380313.199104;7690834451.901566;-2064796420.5816555;1346717;22424958267.999676;15668322147.651007;6903476510.067114;62475137583.89262;1.2403996110565667;1.5954308586964732;1.9275630617022883;0.8091399672774977;-1533.2073632260197;0.10083155003683061;0.4473682070197239;5710.80223380381;0.07847089346844068;0.14011307907666465;0.1731629690078235;0.358942118981124;0.2507929194491382;25;36;49;40;42;49
Idaho;2009;2754313.1991051454;3633854.586129754;4867456.375838926;1631414.9888143176;1156298.6577181208;1074693.5123042506;2469209.1722595077;9452104.026845638;12239817.673378076;2787713.646532438;3242366890.380313;7501561521.252796;8106133109.619687;1156298657.7181208;-604571588.3668903;1554439;13390489907.972307;158190156.59955257;1136291946.3087249;54659898210.290825;1.6882971028155929;2.2274250335108006;2.9835795362996533;0.925418003850759;-388.93233402332953;0.2895388460133552;0.09447025181045798;743.8687897808283;0.05931893392677179;0.13724067857558644;0.1483012843974441;0.24497831767735123;0.0028940807022902596;19;8;32;29;24;18
Illinois;2009;8289693.51230425;15924177.852348993;17745080.53691275;18434779.642058164;52971834.45190156;-50647677.85234899;4172784.1163310963;-30615682.326621924;40790931.76733781;71406614.09395973;31010136465.324383;63641884787.47204;71879285234.89932;52971834451.901566;-8232015659.955257;12796778;223853891068.1382;46980828859.0604;25740513422.81879;586790459731.5436;0.4496768430793535;0.8638116734532947;0.9625870708228107;0.8853995219831734;-643.288151123295;-1.1393437639792128;1.2986179073829658;4139.466547899914;0.05284703585588543;0.108457599696812;0.12249566100270967;0.3814886342401532;0.08006406389182624;50;50;44;12;46;50
Indiana;2009;7841064.876957494;10710453.020134227;12114073.825503355;4070654.362416107;2834647.651006711;6027488.814317673;1480522.371364653;18876310.96196868;25781612.9753915;6905302.013422819;12619463087.248322;30928478747.20358;32119080536.91275;2834647651.0067115;-1190601789.7091722;6459325;39672190533.64392;587090604.0268456;1438598434.0044742;246261027964.2058;1.926241871418306;2.631137912130942;2.9759524506308455;0.9629316353455113;-184.32294236768894;0.291215727768806;0.10994842152476562;438.8458006071395;0.05124425570530213;0.1255922587625154;0.1304269733722596;0.16109812771272236;0.002384017515399065;13;4;21;20;7;8
Iowa;2009;4481306.487695749;6752497.7628635345;6995619.686800894;2459442.953020134;3085483.22147651;1245329.9776286352;2537555.9284116332;13539587.248322148;19084513.42281879;5544926.174496644;7283968680.089485;19230540268.456375;19500789709.17226;3085483221.47651;-266262863.5346756;3032870;27482877310.893883;554005592.8411633;2620149888.1431766;126758808724.83221;1.8220818995589296;2.7455394948566045;2.844391929566998;0.9861416155578165;-87.79237604469549;0.19821757161055953;0.16167471253352933;1017.3476678777889;0.05746321500939245;0.1517096954595242;0.15384169278132406;0.2168123666305011;0.004370549064119067;15;11;9;31;22;17
Kansas;2009;1887347.8747203578;3795176.733780761;3831306.4876957494;3209577.1812080536;3284368.008948546;110870.24608501118;1032913.870246085;11781472.035794184;18275417.22595078;6493945.1901565995;7439529082.774049;13502923937.360178;14004854586.129753;3284368008.948546;-501930648.76957494;2832704;27103940054.36873;265e6;4911807606.263982;124219633109.61969;0.588036295176419;1.1824537998342488;1.1937106576305117;0.9641602384599779;-177.19135100934477;0.06258593728338756;0.17971507672529627;1159.4462425119411;0.05989012281342767;0.10870201110193506;0.11274268193797463;0.21819368948264728;0.002133318166912845;43;20;19;14;21;24
Kentucky;2009;2481876.957494407;5690326.621923937;6237819.910514541;3586847.874720358;10921387.0246085;-7518464.205816555;1230478.7472035794;15946369.127516778;30454604.026845638;14508234.89932886;10671092841.163311;23642036912.75168;25741879194.63087;10921387024.608501;-2099842281.8791945;4317074;55836767111.657074;15011918770.693512;6169898210.290828;155993967561.52124;0.6919381708341623;1.5864421410310225;1.73908125696601;0.9184270011523801;-486.40405095654944;-0.20647076721372362;0.3586120185631484;2529.8123276572283;0.06840708655579789;0.1515573793161436;0.16501842729577818;0.35794183572923133;0.09623396984741142;34;43;36;39;40;44
Louisiana;2009;14950250.559284115;18160061.521252796;21600303.13199105;6039581.655480985;11110687.919463087;-105975.39149888144;7725929.530201342;23515246.085011184;40665515.659955256;17150269.57494407;10056376957.494408;32056882550.33557;31999324384.78747;11110687919.463087;54866890.380313195;4491648;57967517603.361656;12209182326.621923;12428705816.55481;182298232662.19238;2.475378496740185;3.006840963028018;3.576456841574209;1.001798730649934;12.215313929389213;0.18738122497745907;0.2732213704695295;2473.632822399059;0.05516442376119668;0.17584856464153745;0.17553282836309114;0.31798178598241444;0.06697367356954108;7;24;4;38;39;20
Maine;2009;532045.8612975391;1214517.8970917226;2427138.70246085;1635431.7673378077;1220329.9776286352;-242823.26621923936;610973.1543624161;4690926.174496644;7546687.919463087;2855761.7449664427;3629955257.2706933;8324341163.310962;8324851230.4250555;1220329977.6286354;-510067.11409395974;1329590;16118529305.75993;2509019015.659955;1054146532.4384787;54956230425.05593;0.32532440174108596;0.7426282901846416;1.4840965859503883;0.9999387295820699;-0.3836273694100886;0.04878297500466522;0.161704046947718;917.824274873183;0.06605175116988565;0.15147220067546127;0.15148148200917264;0.29329757847457977;0.04565486017243334;47;16;5;35;35;33
Maryland;2009;4055643.1767337807;7765573.825503356;8602482.102908278;5122370.246085011;18729125.279642057;-4087106.2639821027;2738040.2684563757;16268125.279642059;40119620.805369124;23851495.525727067;16866890380.313198;32215315436.24161;35413752796.42058;18729125279.64206;-3198437360.178971;5730388;63228212346.35111;17090994407.158836;15641064876.957495;313088221476.5101;0.7917512756586618;1.5160118172712183;1.6793948288847511;0.9096837497407998;-558.1537166731067;-0.03362609038780307;0.4668320613123935;3268.3869363893086;0.053872644268665545;0.10289532862116506;0.11311109894013549;0.20195014698467315;0.054588429825173465;33;38;38;11;17;26
Massachusetts;2009;5347033.55704698;11276519.015659954;11463078.299776286;9076117.449664429;42798998.881431766;-13792565.995525727;2481077.1812080536;-9198806.48769575;42676309.84340045;51875116.331096195;20692699105.145412;51428300894.85458;55337163310.96197;42798998881.43177;-3921759507.8299775;6517613;75950712261.40723;16809843400.447428;24090485458.612976;374817421700.2237;0.5891322569040438;1.2424386394511544;1.2629936052888022;0.9293627973999697;-601.7171482611774;-0.26505311391319614;1.0028748745728373;6566.6677173731805;0.05520741008056794;0.13720893938592474;0.14763764997887488;0.20263389016680253;0.044848084499903046;40;46;33;26;18;37
Michigan;2009;1907963.087248322;6665062.639821029;10000381.431767337;5941536.912751677;16112871.364653243;-8147120.805369128;3036145.413870246;13053765.10067114;35108172.25950783;22054408.277404923;25482260626.39821;55930042505.59284;60242979865.77181;16112871364.653244;-4279281879.1946306;9901591;90818615335.6452;46097519015.65996;9562639821.029083;376198902684.5638;0.32112281977975554;1.1217741701674067;1.6831304052499616;0.9284076357147557;-432.18124028700345;-0.1455779399086989;0.45894930802869216;1627.3012452900998;0.06773613757125879;0.14867146636121162;0.16013597975931498;0.24141116491186324;0.12253496404882372;41;40;31;37;23;42
Minnesota;2009;6610217.0022371365;10638097.315436242;10848808.724832214;5941927.293064876;7095860.178970917;-1070248.3221476509;3680155.48098434;13219252.796420582;26257040.268456377;13037787.472035794;18946014541.387024;33264015659.955257;34866313199.10515;7095860178.970917;-1602297539.149888;5281203;65488516172.69296;844296420.5816555;6088369127.516778;240659313199.10513;1.1124701929544398;1.790344578576803;1.8258063738838417;0.9540445377749027;-303.3963169281484;0.09939837590804453;0.2702460028404441;1343.6067840927374;0.07872545753387229;0.13822035481516926;0.14487830425352843;0.2721212626353347;0.0035082640657382;26;22;23;34;30;30
Mississippi;2009;4440248.322147651;5141029.082774049;5900195.749440716;2708591.7225950784;4826827.74049217;-229021.25279642057;1387205.81655481;13643588.36689038;21179007.829977628;7535419.463087249;6552055928.411633;17536752796.42058;17861752796.42058;4826827740.49217;-325e6;2958774;38961780499.88038;844885906.0402684;4875571588.36689;98628742729.30649;1.6393199038109323;1.8980450393787933;2.1783259914077377;0.981804697237489;-109.84279299466603;0.05468549674546358;0.22790622578929698;1631.3607394455169;0.06643150614212137;0.17780570157475728;0.18110088704510222;0.39503474769838365;0.008566325420563427;20;28;10;42;47;32
Missouri;2009;4029802.013422819;7684564.876957494;7849809.843400448;2796844.51901566;6436691.275167785;-3664332.2147651007;6478934.004474273;31894564.876957495;41128100.67114094;9233535.794183444;10775728187.919462;26365480984.340046;27375714765.10067;6436691275.167785;-1010233780.7606264;5961088;66615968253.61572;3483747203.579418;4418369127.516778;242876587248.32214;1.4408387688426434;2.747583866285871;2.8066665093571816;0.9630974464254537;-169.47137515175527;0.06843500535594006;0.15650348958818633;1079.7846425296498;0.0443670932221315;0.10855505375404267;0.11271450688291812;0.27427908555675706;0.014343692996713437;18;18;20;8;32;13
Montana;2009;4161555.9284116332;4998786.353467561;5734344.51901566;1384744.966442953;1082694.6308724831;667573.8255033557;2891882.5503355702;7517882.55033557;9985322.147651007;2467439.597315436;2284177852.3489933;5984616331.096197;5686651006.71141;1082694630.8724833;297965324.38478744;983982;11283444941.395836;605026845.6375839;433422818.7919463;37772665548.098434;3.005286915107249;3.6098967496579055;4.141083490446395;1.0523973291192175;302.8158283228631;0.35646885730935274;0.10842861300445687;1100.319549415013;0.06047171464350056;0.15843775503414206;0.15054937013831393;0.29871984880251246;0.01601758406134095;4;10;2;33;36;11
Nebraska;2009;3582157.7181208055;4804099.552572707;5457135.346756152;1972930.648769575;241919.46308724832;1188230.4250559283;2127914.9888143176;11956965.324384788;14171815.43624161;2214850.1118568233;4235736017.897092;8081980984.340045;8271375838.926174;241919463.08724833;-184653243.84787473;1812683;9501465663.716675;0;47753914.98881432;79534668903.80313;1.8156531352761085;2.4350068034924597;2.7660046490531807;0.9771023759197578;-101.86736668677023;0.23399580870844966;0.017070463849577607;133.4593324300213;0.05325647389090408;0.1016158248438196;0.10399711161091739;0.11946319504024919;0;17;1;12;9;2;1
Nevada;2009;3687631.991051454;5840065.995525727;5896609.619686801;2106667.7852348993;4452977.628635347;-271116.33109619684;1702562.639821029;5341391.498881431;11901036.912751678;6559645.413870246;4047522371.364653;8722510067.114094;9898678970.917225;4452977628.635346;-1168317673.378076;2684665;39155973306.58819;2069875838.9261744;4366296420.5816555;108948219239.3736;1.750457294167183;2.7721817537901656;2.799022067463434;0.8811792050980974;-435.1819215351174;0.12027912519043375;0.37416719747033866;1658.671614013423;0.0371508813968929;0.08006106137402383;0.09085673028917089;0.35939984682592524;0.018998711987925056;16;27;41;1;41;9
New Hampshire;2009;473878.0760626398;1206869.1275167784;1308941.8344519015;757365.7718120805;1468187.919463087;49733.780760626396;494295.3020134228;2822675.615212528;5048229.306487695;2225553.6912751677;2121239373.6017897;6176912751.677853;6565186800.894855;1468187919.4630873;-388274049.2170022;1316102;12641094995.265566;2763406040.2684565;1185646532.4384787;67339182326.621925;0.6256924906031001;1.5935089390549193;1.7282822688436459;0.9408586440885308;-295.01820468094587;0.10776631760266796;0.2908322562876167;1115.55785149106;0.031500818695910676;0.09172835989776887;0.09749430530728866;0.18772272781619484;0.04103711902625775;35;21;26;2;13;10
New Jersey;2009;7359529.494407158;15193316.643176733;15617436.37360179;7672640.419463083;55460114.749440715;-37059421.04138702;5167380.61185682;-23657001.036912754;39475754.13199105;63132755.1689038;30101338653.243847;56715848732.66219;65825618418.34452;55460114749.44071;-9721650151.006712;8755602;178910665295.19125;74712416107.38255;39723787472.0358;495241699105.1454;0.9591912421359328;1.980194015691919;2.0354709095952486;0.8616075335929759;-1110.3348634401964;-0.8078893267724802;1.4049159026577274;6334.24346486292;0.06078110689716577;0.11452155348619135;0.13291614687794898;0.36125929140955976;0.1508605116297371;22;49;46;22;43;45
New Mexico;2009;3962450.782997763;5477074.944071588;6822595.078299776;2863167.7852348993;4120356.8232662193;1259411.6331096196;7162356.823266219;17791529.08277405;24775053.69127517;6983524.608501119;5593670022.371365;14630409395.973154;17445654362.416107;4120356823.266219;-2815244966.442953;2036802;33142904816.840187;3295626398.210291;6768101789.709172;74097335570.4698;1.383939426614035;1.9129423613650498;2.3828834319397174;0.8386277231017513;-1382.1888266227904;0.33992937255839994;0.16631071216274507;2022.9540344452819;0.07549083889867457;0.1974485220465046;0.23544239786901014;0.44728875285022685;0.04447698925794715;21;12;48;50;48;48
New York;2009;18413870.24608501;40568232.66219239;41474272.93064877;32284116.331096195;70643176.73378076;-39149888.143176734;5458612.975391499;37947427.29306488;140874720.35794184;102927293.06487696;63285234899.32886;144165548098.434;158456375838.92618;70643176733.78076;-14717002237.136465;19307066;198475344618.4243;63723740492.17002;58717002237.13647;1013200614093.9597;0.5703693437738202;1.2566003741944425;1.2846649573834108;0.9098122264577156;-762.2599020035703;-0.23915770751615822;0.5014609899795144;3658.928639586189;0.06246071510321851;0.1422872687728797;0.1563919066320578;0.19588948314634416;0.06289350756972653;39;44;40;32;16;41
North Carolina;2009;4907178.970917226;9379648.769574944;12196560.402684564;9396565.995525727;9121098.434004474;-4990191.275167786;1922996.644295302;33151562.63982103;51669227.069351226;18517664.4295302;20984873601.789707;44718710290.827736;47256074944.07159;9121098434.004475;-2533731543.6241612;9449566;55013443676.81333;36807140939.59731;8061757270.693512;378824873601.7897;0.5222310973236213;0.9981996374038304;1.2979806036047725;0.9463060642203809;-268.132054278912;-0.059362115611980175;0.1765286409599663;965.2399310195277;0.05539465611713879;0.11804586606378656;0.12474385458053601;0.14522130807767908;0.09716136268889242;44;23;25;18;4;22
North Dakota;2009;3611860.4474272933;7657185.871364653;7753833.040268457;2094435.2069351233;2686984.6565995524;2378802.0838926174;2240123.582774049;6746783.091722595;11528202.95525727;4781419.863534676;2070728187.9194632;5155239373.601789;4852861818.791946;2686984656.5995526;357390600.6711409;664968;4853274802.388859;124272930.64876957;1924598434.0044742;29852212527.964207;1.7245033102325869;3.655966938490182;3.7021116788878716;1.0623091211126048;537.4553372059121;0.4006631115528958;0.2330792290028336;4040.7728741827464;0.069365987059743;0.17269203643691716;0.16256288589148976;0.16257672016245128;0.0041629386944889366;9;15;1;41;8;14
Ohio;2009;27185694.630872484;41981724.832214765;45520859.060402684;13709240.492170023;39435399.32885906;-4833407.158836689;2711159.9552572705;22891628.635346755;76036268.45637584;53144639.82102908;23785117449.66443;58825708053.69128;62460753914.988815;39435399328.85906;-3635045861.297539;11528896;245241302855.67487;42750586129.753914;18477993288.590603;459215181208.0537;1.9830197483514482;3.062293994783479;3.320450836528963;0.9418027219741062;-315.2986948010927;-0.027910985726463045;0.5186393300124172;3420.570306893137;0.051795146203775566;0.1281005299061302;0.13601630884822624;0.5340444151051813;0.09309488858205926;11;39;27;23;49;23
Oklahoma;2009;6242797.539149888;7380884.787472036;7452551.454138703;2832950.782997763;2378239.3736017896;3335429.5302013424;3856421.7002237136;15430146.53243848;20641336.68903803;5211190.156599552;8798128635.346756;17802029082.774048;18019270693.512302;2378239373.6017895;-134973154.36241612;3717572;42326448158.05606;2392617.4496644293;2362636465.3243847;145211552572.70694;2.2036378381921287;2.6053699315106895;2.630667464774162;0.9879439287841727;-36.30680303230606;0.34841984018624256;0.1152173141415206;639.7292032546484;0.06058835181823129;0.12259375213181219;0.12408978744642316;0.2914812727235552;1.6476770665105685e-5;14;7;7;21;1;3
Oregon;2009;6157218.120805369;7940046.979865772;11092514.541387025;5722710.29082774;12886290.827740492;646125.2796420582;3944106.2639821027;15766571.58836689;34375572.70693512;18609001.118568234;7944295302.013423;21448881431.767338;23936689038.03132;12886290827.740492;-2487618568.232662;3808600;58568533329.379234;533445190.1565995;12098689038.03132;150849959731.5436;1.0759269311036155;1.3874626839999116;1.93833235961043;0.8960671794536296;-653.158265040346;0.1335317838267783;0.374867669481496;3383.471834201673;0.05266355600062002;0.1421868555347201;0.1586787897101839;0.38825687082455485;0.0035362633911598784;28;33;42;28;45;35
Pennsylvania;2009;12725916.10738255;17263930.648769576;20404780.760626398;14149486.577181207;15365038.03131991;-4984639.821029083;6054011.185682327;26685023.489932887;56199548.098434;29514524.608501118;31018204697.986576;68456375838.92617;73685412751.67786;15365038031.31991;-5161657718.120806;12666858;121912187040.31319;18188823266.21924;10351892617.449665;576606014541.387;0.8993906625492376;1.2201100410675687;1.442086301105304;0.929035656889462;-407.49313824476485;0.01902811322931335;0.2734014516345916;1213.010995411799;0.05379445221822289;0.11872296527009707;0.12779161315250023;0.21143065449512877;0.031544629794897326;38;29;30;19;20;28
Rhode Island;2009;889922.8187919463;1445536.912751678;1875154.3624161074;974227.0693512304;3502912.751677852;-1734842.2818791945;492555.9284116331;882618.5682326622;5359758.389261745;4477139.821029083;2895321029.082774;9328671140.939598;9563355704.697987;3502912751.677852;-234684563.75838926;1053646;17656145029.346905;919875838.9261745;3053980984.3400445;48246033557.04698;0.9134655018204072;1.4837782260703432;1.9247610966761926;0.9754600193692367;-222.73568519065157;-0.23178028993927738;0.653557958637823;3324.5632325067927;0.06001158676928942;0.19335622958329224;0.19822055824319945;0.365960551108724;0.019066351596313025;29;45;15;44;44;47
South Carolina;2009;5058477.628635347;6917829.977628635;9819637.583892617;5867256.152125279;9652904.921700224;265977.6286353468;5014683.445190157;19425256.15212528;34945417.225950785;15520161.073825503;9392187919.463087;26344788590.604027;27088220357.941833;9652904921.700224;-707711409.3959731;4589872;51577453677.17361;10288416107.38255;9306609619.6868;162417939597.31543;0.862153875249341;1.1790570921507848;1.673633693380794;0.9725551639231315;-154.1897920891853;0.15111169054533527;0.27622806330473254;2103.0880429127924;0.05782728153521243;0.16220368671047636;0.166780962897953;0.317560078677578;0.06334531845983721;37;25;14;36;38;34
South Dakota;2009;1567615.2125279643;2362648.769574944;2400052.572706935;416997.7628635347;566410.514541387;190302.0134228188;1342510.067114094;5004176.73378076;5987585.011185682;983408.2774049217;1328929530.2013423;3530073825.5033555;3612865771.8120804;566410514.541387;-82892617.44966443;807067;5689883838.304358;0;520878076.06263983;35680861297.53915;3.7592892627603303;5.665854783849612;5.755552634684921;0.9770841344412308;-102.70847085764184;0.25599838293291804;0.09459749022072331;701.8134981871233;0.037244883724065155;0.09893465844522142;0.10125500451585943;0.15946598908745455;0;2;9;13;4;5;2
Tennessee;2009;4552998.881431768;8131749.440715884;8346626.398210291;2351104.0268456377;2500409.3959731543;1876501.1185682325;2377759.5078299777;29506891.49888143;34358404.921700224;4851513.422818792;11610130872.483221;27350944071.588367;27960758389.261745;2500409395.9731545;-609571588.3668903;6306019;30094057608.048534;2562794183.44519;1930715883.6689038;244304498881.43176;1.9365365502522258;3.4586940211343427;3.5500880875137435;0.9781903513065091;-96.66504150509067;0.12382008524823243;0.07277431538720633;396.5115544328608;0.04752319718073617;0.11195432010796737;0.11445044408630367;0.12318257643979809;0.010490163689899915;10;3;11;10;3;4
Texas;2009;29765305.369127516;40744969.798657715;48131565.995525725;28521176.73378076;41630917.225950785;13532476.510067115;57503102.90827741;146398035.79418343;216550129.75391498;70152093.95973155;40188806487.69575;110246815436.24161;122178143176.73378;41630917225.95078;-11794909395.973154;24801761;192997390914.02948;34910612975.391495;37969798657.71812;1018017675615.2125;1.0436212238702338;1.4285865614513364;1.68757293728762;0.9023448267401379;-475.5674161997269;0.32803295707589053;0.19224609688878813;1678.546826814063;0.039477513456147695;0.10829558079098854;0.1200157385311592;0.18958157165335712;0.03429273755418262;31;13;39;7;14;15
Utah;2009;3885332.2147651007;9592934.004474273;9833789.70917226;2088117.4496644295;4210102.9082774045;1979063.7583892618;4047544.742729306;18656788.590604026;24955008.948545862;6298220.357941834;5667473154.362416;11314536912.751678;11362237136.465324;4210102908.277405;-47700223.71364653;2723421;23523280353.0909;469966442.9530201;4440715883.668903;96320543624.16107;1.8606866272725666;4.594058636891284;4.70940449769844;0.9958018633882794;-17.514818206089522;0.24149895171525237;0.168707729857285;1545.8876568394694;0.05883971311952589;0.1174675358654593;0.11796275964554687;0.24421872497810856;0.004879192177182995;3;14;6;17;25;6
Vermont;2009;485797.9127516778;788736.7192393736;798523.1666666666;483311.97091722593;990363.4899328859;-309727.1756152125;223884.07718120777;1390270.260626398;2863945.72147651;1473675.4608501117;2618081385.90604;4986541231.543624;5184975459.731544;990363489.9328859;-198434228.18791947;624817;4990966685.96613;1842544742.7293065;512181208.05369127;28110397091.722595;1.0051435552687307;1.6319412029925822;1.6521899202108221;0.9617289937572446;-317.5877547952752;-0.029973716956391273;0.34580386161170085;1585.0456852692641;0.09313569557069552;0.1773913479511808;0.18445045236512558;0.17754877918233938;0.06554673477991754;30;34;22;48;12;36
Virginia;2009;8444701.34228188;11741503.355704697;12026118.568232661;7194779.642058166;9252347.874720357;-1939914.9888143176;2005995.5257270692;18222170.022371363;34669297.53914989;16447127.516778523;18175021252.79642;33770144295.302013;36017215883.6689;9252347874.720358;-2247071588.3668904;7925937;66962709913.30409;4812080536.912751;5597265100.671141;392145030201.3423;1.173726196271128;1.6319475980984846;1.6715061706590955;0.9376111802859874;-283.5086360599246;0.0019060246847554677;0.2668743969869091;1167.350670932706;0.04634770264324061;0.0861164663440032;0.09184667179175084;0.1707600626200028;0.012271175627145001;27;30;28;3;11;12
Washington;2009;12354001.118568232;18210227.06935123;23205223.71364653;10964135.346756153;44579763.98210291;-9306906.040268457;9717196.868008949;20849646.53243848;76393545.86129753;55543899.32885906;18024608501.11857;42588366890.38031;46195749440.71588;44579763982.102905;-3543624161.0738254;6667426;51115862722.588326;10603130872.483221;18493288590.604027;312070573825.50336;1.1267647404793564;1.6608903933987742;2.1164663678209727;0.9219109421535631;-531.4830882373236;0.00537075250421585;0.5835540617926454;6686.203038789317;0.05775811631377063;0.13647030659864112;0.14802981541779903;0.16379584302354042;0.03397670835319463;23;41;35;27;9;29
West Virginia;2009;4891868.008948546;6352771.812080537;7006256.152125279;2009369.1275167784;5546421.700223713;704880.3131991051;2033331.096196868;11177378.07606264;18733168.903803132;7555790.827740492;5177719239.373602;12793748322.147652;12337241610.738255;5546421700.223714;456506711.409396;1847775;17802820238.16081;7844325503.355704;2677533557.04698;64924196868.00895;2.434529296761925;3.1615753049472937;3.486793967409941;1.0370023321106119;247.057521294203;0.1461691518107261;0.29607493151346653;3001.675907631456;0.07975022394038879;0.1970567051935563;0.19002532500817682;0.2742093255978813;0.12082283465597946;6;31;3;49;33;25
Wisconsin;2009;3728043.624161074;11059112.975391498;11720086.129753916;9401219.239373602;13541842.281879194;-9966751.67785235;4026543.624161074;13234080.536912752;36177142.05816555;22943061.521252796;14877069351.230425;34694854586.12975;35807159955.25727;13541842281.879194;-1085458612.9753914;5669264;65184132450.355736;1487165548.098434;12744692393.736017;241050220357.94183;0.39654895064541346;1.1763488004911544;1.2466559742239154;0.9689362303372455;-191.46376195841142;-0.16419782536001928;0.3743203998841767;2388.642032171935;0.061717717283722336;0.1439320591975002;0.14854647260677162;0.27041722821726566;0.006169525777201542;45;42;18;30;29;39
Wyoming;2009;2727820.246085011;3981668.146532438;4747782.302013422;4187182.794183445;1279003.8668903802;3633752.889261745;7569216.562639821;11860485.296420582;17326671.957494408;5466186.661073825;3226875404.9217;4250599722.595078;4932878894.854586;1279003866.8903804;-682279172.2595078;559851;7412383389.733645;250366334.45190156;52539615.21252796;27271816554.80984;0.6514691094628867;0.9509181572066798;1.1338846511809144;0.8616874269970051;-1218.6799206565815;0.6465736454977946;0.07381705327070413;2284.543328296958;0.11832271599643722;0.15586052781091378;0.18087826621085826;0.27179646705368976;0.009180405491094624;46;5;47;47;31;43
Average;2009;7884477.544563758;11768035.44067114;13357209.886912746;6917373.644966445;16038824.413557047;-5518760.522595077;5367638.562013423;17371297.799217008;40327495.83536913;22956198.058523484;14848867765.7047;33533394581.208057;36349483313.758385;16038824413.557049;-2813592591.006712;6123586.02;66793939653.10922;13451307922.416103;12015776429.888142;269438734295.302;1.4815453265827887;2.1816017288796767;2.422997918251137;0.9316872318732362;-555.8368293457169;0.05043927649485398;0.34417214563404985;2380.9811689206454;0.0606389969175528;0.13381683971124173;0.14574234069505893;0.2642442726685925;0.05266178529785617;25.5;25.5;25.5;25.5;25.5;25.5
Alabama;2010;6733467.546754675;8011899.889988999;9014718.371837184;2724445.544554455;2753852.585258526;-744638.0638063806;5481009.900990099;26115873.487348735;31594171.617161714;5478298.129812981;7919597359.735973;24151971397.139713;23633605060.50605;2753852585.258526;508415841.5841584;4785492;58215458924.016;16378513875.687569;1991776677.6677668;177400385038.50385;2.471500140721601;2.9407451016970985;3.3088267775641715;1.0219334433027276;106.24108066300359;0.1499128350183094;0.08716331032913216;575.458612251055;0.04464250378045721;0.13614384992398776;0.13322183633015508;0.32815858269631504;0.09232513149355734;7;7;13;19;34;9
